"sex","id","pgm"
"F","AFC_14_15_B02",1
"F","AFC_14_15_B03",1
"M","AFC_14_15_B04",1
"F","AFC_14_15_B05",1
"M","AFC_14_15_B06",1
"F","AFC_14_15_B07",1
"F","AFC_14_15_C01",1
"F","AFC_14_15_C02",1
"F","AFC_14_15_C03",1
"F","AFC_14_15_C04",1
"F","AFC_14_15_C05",1
"F","AFC_14_15_C06",1
"F","AFC_14_15_C07",1
"M","AFC_14_15_C08",1
"M","AFC_14_15_C09",1
"M","AFC_14_15_C10",1
"F","AFC_14_15_C11",1
"F","AFC_14_15_C12",1
"F","AFC_14_15_D01",1
"F","AFC_14_15_D02",1
"F","AFC_14_15_D03",1
"F","AFC_14_15_D04",1
"F","AFC_14_15_D05",1
"F","AFC_14_15_D06",1
"F","AFC_14_15_D07",1
"M","AFC_14_15_D08",1
"M","AFC_14_15_D09",1
"F","AFC_14_15_D10",1
"M","AFC_14_15_D11",1
"M","AFC_14_15_D12",1
"M","AFC_14_15_E01",1
"F","AFC_14_15_E02",1
"F","AFC_14_15_E03",1
"F","AFC_14_15_E04",1
"F","AFC_14_15_E05",1
"F","AFC_14_15_E06",1
"M","AFC_14_15_E07",1
"M","AFC_14_15_E08",1
"F","AFC_14_15_E09",1
"M","AFC_14_15_E10",1
"M","AFC_14_15_E11",1
"F","AFC_14_15_E12",1
"F","AFC_14_15_F01",1
"M","AFC_14_15_F02",1
"F","AFC_14_15_F03",1
"F","AFC_14_15_F04",1
"F","AFC_14_15_F05",1
"F","AFC_14_15_F06",1
"F","AFC_14_15_F07",1
"M","AFC_14_15_F08",1
"F","AFC_14_15_F09",1
"M","AFC_14_15_F10",1
"M","AFC_14_15_F11",1
"F","AFC_14_15_F12",1
"F","AFC_14_15_G01",1
"F","AFC_14_15_G02",1
"M","AFC_14_15_G03",1
"F","AFC_14_15_G04",1
"F","AFC_14_15_G05",1
"M","AFC_14_15_G06",1
"F","AFC_14_15_G07",1
"M","AFC_14_15_G08",1
"F","AFC_14_15_G09",1
"M","AFC_14_15_G10",1
"F","AFC_14_15_G11",1
"M","AFC_14_15_G12",1
"M","AFC_14_15_H02",1
"M","AFC_14_15_H03",1
"M","AFC_14_15_H04",1
"F","AFC_14_15_H05",1
"F","AFC_14_15_H06",1
"F","AFC_14_15_H07",1
"F","AFC_14_15_H08",1
"M","AFC_14_15_H10",1
"F","AFC_14_15_H11",1
"F","AFC_14_15_H12",1
"M","AFC_14_16_A01",1
"M","AFC_14_16_A02",1
"F","AFC_14_16_A03",1
"F","AFC_14_16_A04",1
"F","AFC_14_16_A05",1
"F","AFC_14_16_A06",1
"M","AFC_14_16_A07",1
"F","AFC_14_16_A08",1
"M","AFC_14_16_A09",1
"F","AFC_14_16_A10",1
"F","AFC_14_16_B01",1
"F","AFC_14_16_B02",1
"M","AFC_14_16_B03",1
"F","AFC_14_16_B04",1
"F","AFC_14_16_B05",1
"F","AFC_14_16_B06",1
"M","AFC_14_16_B07",1
"F","AFC_14_16_B08",1
"M","AFC_14_16_B09",1
"F","AFC_14_16_B10",1
"F","AFC_14_16_B11",1
"F","AFC_14_16_B12",1
"F","AFC_14_16_C01",1
"F","AFC_14_16_C02",1
"M","AFC_14_16_C03",1
"F","AFC_14_16_C04",1
"F","AFC_14_16_C05",1
"F","AFC_14_16_C06",1
"F","AFC_14_16_C07",1
"F","AFC_14_16_C08",1
"F","AFC_14_16_C09",1
"M","AFC_14_16_C10",1
"F","AFC_14_16_C11",1
"F","AFC_14_16_C12",1
"F","AFC_14_16_D01",1
"M","AFC_14_16_D02",1
"M","AFC_14_16_D03",1
"F","AFC_14_16_D04",1
"M","AFC_14_16_D05",1
"M","AFC_14_16_D06",1
"F","AFC_14_16_D07",1
"M","AFC_14_16_D08",1
"M","AFC_14_16_D09",1
"M","AFC_14_16_D10",1
"F","AFC_14_16_D11",1
"F","AFC_14_16_D12",1
"M","AFC_14_16_E01",1
"F","AFC_14_16_E02",1
"F","AFC_14_16_E03",1
"M","AFC_14_16_E04",1
"F","AFC_14_16_E05",1
"F","AFC_14_16_E06",1
"M","AFC_14_16_E08",1
"F","AFC_14_16_E09",1
"M","AFC_14_16_E10",1
"F","AFC_14_16_E11",1
"F","AFC_14_16_E12",1
"M","AFC_14_16_F01",1
"M","AFC_14_16_F02",1
"F","AFC_14_16_F03",1
"F","AFC_14_16_F04",1
"M","AFC_14_16_F05",1
"M","AFC_14_16_F06",1
"F","AFC_14_16_F07",1
"F","AFC_14_16_F08",1
"M","AFC_14_16_F09",1
"M","AFC_14_16_F10",1
"F","AFC_14_16_F11",1
"F","AFC_14_16_F12",1
"M","AFC_14_16_G01",1
"F","AFC_14_16_G02",1
"M","AFC_14_16_G03",1
"F","AFC_14_16_G04",1
"M","AFC_14_16_G05",1
"F","AFC_14_16_G06",1
"F","AFC_14_16_G07",1
"F","AFC_14_16_G08",1
"F","AFC_14_16_G09",1
"F","AFC_14_16_G10",1
"F","AFC_14_16_G11",1
"F","AFC_14_16_G12",1
"M","AFC_14_16_H01",1
"M","AFC_14_16_H02",1
"M","AFC_14_16_H03",1
"M","AFC_14_16_H04",1
"F","AFC_14_16_H05",1
"M","AFC_14_16_H10",1
"F","AFC_14_16_H11",1
"F","AFC_14_16_H12",1
"F","AFC_14_17_A01",1
"F","AFC_14_17_A03",1
"M","AFC_14_17_A04",1
"F","AFC_14_17_A05",1
"F","AFC_14_17_A06",1
"F","AFC_14_17_A07",1
"F","AFC_14_17_A08",1
"F","AFC_14_17_A09",1
"F","AFC_14_17_A10",1
"M","AFC_14_17_A11",1
"F","AFC_14_17_A12",1
"M","AFC_14_17_B01",1
"F","AFC_14_17_B02",1
"F","AFC_14_17_B03",1
"F","AFC_14_17_B04",1
"M","AFC_14_17_B05",1
"F","AFC_14_17_B06",1
"M","AFC_14_17_B07",1
"F","AFC_14_17_B08",1
"F","AFC_14_17_B09",1
"F","AFC_14_17_B10",1
"F","AFC_14_17_B11",1
"F","AFC_14_17_B12",1
"M","AFC_14_17_C01",1
"F","AFC_14_17_C02",1
"M","AFC_14_17_C03",1
"F","AFC_14_17_C04",1
"F","AFC_14_17_C05",1
"M","AFC_14_17_C06",1
"M","AFC_14_17_C07",1
"F","AFC_14_17_C08",1
"F","AFC_14_17_C09",1
"M","AFC_14_17_C10",1
"F","AFC_14_17_C11",1
"M","AFC_14_17_C12",1
"M","AFC_14_17_D01",1
"F","AFC_14_17_D02",1
"F","AFC_14_17_D03",1
"F","AFC_14_17_D04",1
"F","AFC_14_17_D05",1
"M","AFC_14_17_D06",1
"M","AFC_14_17_D07",1
"F","AFC_14_17_D08",1
"M","AFC_14_17_D09",1
"F","AFC_14_17_D10",1
"F","AFC_14_17_D11",1
"F","AFC_14_17_D12",1
"F","AFC_14_17_E01",1
"F","AFC_14_17_E02",1
"F","AFC_14_17_E03",1
"M","AFC_14_17_E04",1
"F","AFC_14_17_E05",1
"M","AFC_14_17_E06",1
"M","AFC_14_17_E07",1
"M","AFC_14_17_E08",1
"F","AFC_14_17_E09",1
"M","AFC_14_17_E10",1
"F","AFC_14_17_E11",1
"M","AFC_14_17_E12",1
"M","AFC_14_17_F01",1
"F","AFC_14_17_F02",1
"F","AFC_14_17_F03",1
"M","AFC_14_17_F04",1
"F","AFC_14_17_F05",1
"M","AFC_14_17_F06",1
"M","AFC_14_17_F07",1
"M","AFC_14_17_F08",1
"M","AFC_14_17_F09",1
"M","AFC_14_17_F10",1
"F","AFC_14_17_F11",1
"F","AFC_14_17_F12",1
"M","AFC_14_17_G01",1
"M","AFC_14_17_G02",1
"M","AFC_14_17_G03",1
"F","AFC_14_17_G04",1
"F","AFC_14_17_G05",1
"M","AFC_14_17_G06",1
"F","AFC_14_17_G07",1
"M","AFC_14_17_G08",1
"F","AFC_14_17_G09",1
"M","AFC_14_17_G10",1
"M","AFC_14_17_G11",1
"M","AFC_14_17_H01",1
"M","AFC_14_17_H02",1
"M","AFC_14_17_H04",1
"M","AFC_14_17_H05",1
"M","AFC_14_17_H06",1
"M","AFC_14_17_H07",1
"F","AFC_14_17_H08",1
"F","AFC_14_17_H09",1
"F","AFC_14_17_H10",1
"F","AFC_14_18_A01",1
"M","AFC_14_18_A02",1
"F","AFC_14_18_A03",1
"F","AFC_14_18_A04",1
"F","AFC_14_18_A05",1
"M","AFC_14_18_A06",1
"F","AFC_14_18_A07",1
"F","AFC_14_18_A08",1
"M","AFC_14_18_A09",1
"M","AFC_14_18_A10",1
"M","AFC_14_18_B01",1
"M","AFC_14_18_B02",1
"F","AFC_14_18_B03",1
"F","AFC_14_18_B04",1
"F","AFC_14_18_B05",1
"M","AFC_14_18_B06",1
"F","AFC_14_18_B07",1
"M","AFC_14_18_B08",1
"F","AFC_14_18_B09",1
"M","AFC_14_18_B10",1
"M","AFC_14_18_B11",1
"F","AFC_14_18_B12",1
"M","AFC_14_18_C01",1
"F","AFC_14_18_C02",1
"M","AFC_14_18_C03",1
"M","AFC_14_18_C04",1
"F","AFC_14_18_C05",1
"M","AFC_14_18_C06",1
"F","AFC_14_18_C07",1
"M","AFC_14_18_C08",1
"M","AFC_14_18_C09",1
"F","AFC_14_18_C10",1
"M","AFC_14_18_C11",1
"F","AFC_14_18_C12",1
"M","AFC_14_18_D01",1
"M","AFC_14_18_D02",1
"M","AFC_14_18_D03",1
"F","AFC_14_18_D04",1
"F","AFC_14_18_D05",1
"F","AFC_14_18_D06",1
"F","AFC_14_18_D07",1
"F","AFC_14_18_D08",1
"M","AFC_14_18_D09",1
"F","AFC_14_18_D10",1
"M","AFC_14_18_D11",1
"M","AFC_14_18_D12",1
"M","AFC_14_18_E01",1
"M","AFC_14_18_E02",1
"F","AFC_14_18_E03",1
"F","AFC_14_18_E04",1
"M","AFC_14_18_E05",1
"M","AFC_14_18_E06",1
"F","AFC_14_18_E07",1
"M","AFC_14_18_E08",1
"M","AFC_14_18_E09",1
"M","AFC_14_18_E10",1
"F","AFC_14_18_E11",1
"F","AFC_14_18_E12",1
"M","AFC_14_18_F01",1
"M","AFC_14_18_F02",1
"M","AFC_14_18_F03",1
"F","AFC_14_18_F04",1
"F","AFC_14_18_F05",1
"M","AFC_14_18_F06",1
"F","AFC_14_18_F07",1
"M","AFC_14_18_F08",1
"F","AFC_14_18_F09",1
"M","AFC_14_18_F10",1
"F","AFC_14_18_F11",1
"M","AFC_14_18_G02",1
"M","AFC_14_18_G03",1
"F","AFC_14_18_G04",1
"F","AFC_14_18_G05",1
"F","AFC_14_18_G06",1
"F","AFC_14_18_G07",1
"F","AFC_14_18_G08",1
"F","AFC_14_18_G09",1
"F","AFC_14_18_G10",1
"F","AFC_14_18_G11",1
"M","AFC_14_19_A01",1
"M","AFC_14_19_A02",1
"F","AFC_14_19_A03",1
"M","AFC_14_19_A05",1
"F","AFC_14_19_A06",1
"F","AFC_14_19_A07",1
"M","AFC_14_19_A08",1
"F","AFC_14_19_A09",1
"M","AFC_14_19_A10",1
"F","AFC_14_19_A11",1
"M","AFC_14_19_A12",1
"F","AFC_14_19_B01",1
"F","AFC_14_19_B02",1
"F","AFC_14_19_B03",1
"F","AFC_14_19_B04",1
"M","AFC_14_19_B05",1
"M","AFC_14_19_B06",1
"F","AFC_14_19_B07",1
"F","AFC_14_19_B08",1
"F","AFC_14_19_B09",1
"F","AFC_14_19_B10",1
"M","AFC_14_19_B11",1
"M","AFC_14_19_B12",1
"M","AFC_14_19_C01",1
"F","AFC_14_19_C02",1
"M","AFC_14_19_C03",1
"M","AFC_14_19_C04",1
"M","AFC_14_19_C05",1
"M","AFC_14_19_C06",1
"F","AFC_14_19_C07",1
"M","AFC_14_19_C08",1
"M","AFC_14_19_C09",1
"F","AFC_14_19_C10",1
"M","AFC_14_19_C11",1
"F","AFC_14_19_C12",1
"M","AFC_14_19_D01",1
"M","AFC_14_19_D02",1
"F","AFC_14_19_D03",1
"M","AFC_14_19_D04",1
"F","AFC_14_19_D05",1
"F","AFC_14_19_D06",1
"M","AFC_14_19_D07",1
"F","AFC_14_19_D08",1
"F","AFC_14_19_D09",1
"M","AFC_14_19_D10",1
"F","AFC_14_19_D11",1
"F","AFC_14_19_D12",1
"M","AFC_14_19_E01",1
"F","AFC_14_19_E02",1
"F","AFC_14_19_E03",1
"F","AFC_14_19_E04",1
"F","AFC_14_19_E05",1
"F","AFC_14_19_E06",1
"F","AFC_14_19_E07",1
"M","AFC_14_19_E08",1
"F","AFC_14_19_E09",1
"F","AFC_14_19_E10",1
"M","AFC_14_19_E11",1
"M","AFC_14_19_E12",1
"F","AFC_14_19_F01",1
"F","AFC_14_19_F02",1
"F","AFC_14_19_F03",1
"F","AFC_14_19_F04",1
"M","AFC_14_19_F05",1
"F","AFC_14_19_F06",1
"M","AFC_14_19_F07",1
"F","AFC_14_19_F08",1
"M","AFC_14_19_F09",1
"M","AFC_14_19_F10",1
"F","AFC_14_19_F11",1
"F","AFC_14_19_F12",1
"M","AFC_14_19_G01",1
"M","AFC_14_19_G02",1
"M","AFC_14_19_G03",1
"F","AFC_14_19_G04",1
"M","AFC_14_19_G05",1
"F","AFC_14_19_G06",1
"M","AFC_14_19_G08",1
"M","AFC_14_19_G09",1
"F","AFC_14_19_G10",1
"M","AFC_14_19_G11",1
"M","AFC_14_19_G12",1
"F","AFC_14_19_H01",1
"F","AFC_14_19_H02",1
"M","AFC_14_19_H03",1
"F","AFC_14_19_H04",1
"F","AFC_14_19_H05",1
"F","AFC_14_19_H06",1
"M","AFC_14_19_H07",1
"F","AFC_14_19_H08",1
"F","AFC_14_19_H09",1
"F","AFC_14_19_H10",1
"M","AFC_14_19_H11",1
"M","AFC_14_20_A04",1
"M","AFC_14_20_A05",1
"M","AFC_14_20_A06",1
"M","AFC_14_20_A08",1
"F","AFC_14_20_A09",1
"M","AFC_14_20_A10",1
"F","AFC_14_20_A11",1
"M","AFC_14_20_A12",1
"M","AFC_14_20_B01",1
"M","AFC_14_20_B02",1
"F","AFC_14_20_B03",1
"F","AFC_14_20_B04",1
"F","AFC_14_20_B05",1
"M","AFC_14_20_B06",1
"M","AFC_14_20_B07",1
"F","AFC_14_20_B08",1
"F","AFC_14_20_B09",1
"M","AFC_14_20_B10",1
"M","AFC_14_20_B11",1
"M","AFC_14_20_B12",1
"F","AFC_14_20_C01",1
"F","AFC_14_20_C02",1
"M","AFC_14_20_C03",1
"M","AFC_14_20_C04",1
"M","AFC_14_20_C05",1
"M","AFC_14_20_C06",1
"F","AFC_14_20_C07",1
"F","AFC_14_20_C08",1
"F","AFC_14_20_C09",1
"M","AFC_14_20_C10",1
"M","AFC_14_20_C11",1
"M","AFC_14_20_C12",1
"M","AFC_14_20_D01",1
"M","AFC_14_20_D02",1
"M","AFC_14_20_D03",1
"M","AFC_14_20_D04",1
"M","AFC_14_20_D05",1
"M","AFC_14_20_D06",1
"F","AFC_14_20_D07",1
"M","AFC_14_20_D08",1
"F","AFC_14_20_D09",1
"M","AFC_14_20_D10",1
"M","AFC_14_20_D11",1
"F","AFC_14_20_D12",1
"M","AFC_14_20_E01",1
"M","AFC_14_20_E02",1
"F","AFC_14_20_E03",1
"F","AFC_14_20_E04",1
"F","AFC_14_20_E05",1
"F","AFC_14_20_E06",1
"M","AFC_14_20_E07",1
"M","AFC_14_20_E08",1
"M","AFC_14_20_E09",1
"F","AFC_14_20_E10",1
"M","AFC_14_20_E11",1
"M","AFC_14_20_E12",1
"F","AFC_14_20_F01",1
"F","AFC_14_20_F02",1
"M","AFC_14_20_F03",1
"F","AFC_14_20_F04",1
"F","AFC_14_20_F05",1
"M","AFC_14_20_F06",1
"F","AFC_14_20_F07",1
"M","AFC_14_20_F08",1
"F","AFC_14_20_F09",1
"M","AFC_14_20_F10",1
"F","AFC_14_20_F11",1
"M","AFC_14_20_F12",1
"M","AFC_14_20_G01",1
"M","AFC_14_20_G02",1
"F","AFC_14_20_G03",1
"M","AFC_14_20_G04",1
"M","AFC_14_20_G05",1
"M","AFC_14_20_G06",1
"F","AFC_14_20_G07",1
"M","AFC_14_20_G08",1
"F","AFC_14_20_G09",1
"M","AFC_14_20_G10",1
"F","AFC_14_20_G11",1
"M","AFC_14_20_G12",1
"M","AFC_14_20_H01",1
"M","AFC_14_20_H02",1
"F","AFC_14_20_H03",1
"F","AFC_14_20_H04",1
"M","AFC_14_20_H05",1
"M","AFC_14_20_H06",1
"F","AFC_14_20_H07",1
"M","AFC_14_20_H08",1
"F","AFC_14_20_H09",1
"M","AFC_14_20_H10",1
"M","AFC_14_20_H11",1
"M","AFC_14_20_H12",1
