pop,line_id,type,unique_id,plate,row,col,orig,flip,clusters_with
MC,27,F1,MC-27-2-F1,P1,A,1,A01,H01,
AFC,12,F1,AFC-12-3-F1,P1,B,1,B01,G01,
MC,14,F1,MC-14-1-F1,P1,C,1,C01,F01,MV
MC,20,F,MC_F1_F20,P1,D,1,D01,E01,
AFC,64,F1,AFC-64-3-F1,P1,E,1,E01,D01,
MV,225,L,MV-L5,P1,F,1,F01,C01,AFC
AFC,56,L,AFC-L56-3,P1,G,1,G01,B01,
MC,15,L,MC-L15-3,P1,H,1,H01,A01,
AFC,15,F1,AFC-15-1-F1,P1,A,2,A02,A02,
MC,27,F1,MC-27-1-F1,P1,B,2,B02,B02,
MC,6,M,MC-M06-F1,P1,C,2,C02,C02,
MC,9,F,MC_F9_F1,P1,D,2,D02,D02,
MC,9,F1,MC_F1_9-3,P1,E,2,E02,E02,
MC,17,F1,MC-17-5-F1,P1,F,2,F02,F02,
AFC,48,L,AFC_F1_L48-3,P1,G,2,G02,G02,
MC,6,F,MC_F6_F1,P1,H,2,H02,H02,
AFC,60,L,AFC-L60-3,P1,A,3,A03,A03,
AFC,14,L,AFC-L14-3,P1,B,3,B03,B03,
MC,6,L,MC-L6-4,P1,C,3,C03,C03,
AFC,43,F1,AFC-43-1-F1,P1,D,3,D03,D03,
AFC,46,F1,AFC-46-2-F1,P1,E,3,E03,E03,
AFC,70,F1,AFC-70-3-F1,P1,F,3,F03,F03,
MC,11,F,MC_F11_F1,P1,G,3,G03,G03,
AFC,14,F1,AFC-14-2-F1,P1,H,3,H03,H03,
MC,27,L,MC-L27-3,P1,A,4,A04,A04,
AFC,2,F1,AFC-2-2-F1,P1,B,4,B04,B04,
AFC,12,L,AFC_F1_L12-4,P1,C,4,C04,C04,
AFC,46,F1,AFC-46-1-F1,P1,D,4,D04,D04,
AFC,70,F1,AFC-70-2-F1,P1,E,4,E04,E04,
MC,23,F,MC_F1_F23,P1,F,4,F04,F04,
MC,20,F1,MC-20-3-F1,P1,G,4,G04,G04,
MC,3,F,MC_F3_F1,P1,H,4,H04,H04,
AFC,19,F1,AFC-19-4-F1,P1,A,5,A05,A05,
AFC,7,F1,AFC-7-1-F1,P1,B,5,B05,B05,
AFC,6,F1,AFC-6-2-F1,P1,C,5,C05,C05,
AFC,50,F1,AFC-50-3-F1,P1,D,5,D05,D05,
FL,14,L,FL-L11,P1,E,5,E05,E05,
MC,15,F,MC_F15_F1,P1,F,5,F05,F05,
AFC,59,F1,AFC-59-2-F1,P1,G,5,G05,G05,
AFC,24,L,AFC_F1_L24-3,P1,H,5,H05,H05,
MC,6,F1,MC_F1_6-3,P1,A,6,A06,A06,
MC,27,M,MC_M27_F1,P1,B,6,B06,B06,FL
AFC,42,F1,AFC-42-3-F1,P1,C,6,C06,C06,
AFC,55,F1,AFC-55-3-F1,P1,D,6,D06,D06,
MC,13,F1,MC-13-4-F1,P1,E,6,E06,E06,
AFC,71,F1,AFC-71-3-F1,P1,F,6,F06,F06,
AFC,3,F1,AFC-3-3-F1,P1,G,6,G06,G06,
MC,14,L,MC-L14-3,P1,H,6,H06,H06,
MC,19,M,MC_M19_F1,P1,A,7,A07,A07,
VY,VY,L,VY-L10,P1,B,7,B07,B07,
MC,17,F1,MC-17-2-F1,P1,C,7,C07,C07,
MC,25,F,MC_F1_F25,P1,D,7,D07,D07,
AFC,19,L,AFC_F1_L19-2,P1,E,7,E07,E07,
AFC,55,F1,AFC-55-4-F1,P1,F,7,F07,F07,
AFC,28,F1,AFC-28-3-F1,P1,G,7,G07,G07,
AFC,47,F1,AFC-47-2-F1,P1,H,7,H07,H07,
AFC,6,F1,AFC-6-3-F1,P1,A,8,A08,A08,
MC,9,F1,MC_F1_9-1,P1,B,8,B08,B08,
AFC,47,L,AFC-L47-4,P1,C,8,C08,C08,
AFC,56,F1,AFC-56-4-F1,P1,D,8,D08,D08,
AFC,13,F1,AFC-13-4-F1,P1,E,8,E08,E08,
AFC,8,F1,AFC-8-2-F1,P1,F,8,F08,F08,
VY,VY,L,VY-L6,P1,G,8,G08,G08,
AFC,8,F1,AFC-8-3-F1,P1,H,8,H08,H08,
MC,20,L,MC-L20-2,P1,A,9,A09,A09,
AFC,30,L,AFC-L30-4,P1,B,9,B09,B09,
MC,21,M,MC_M21_F1,P1,C,9,C09,C09,
AFC,48,F1,AFC-48-4-F1,P1,D,9,D09,D09,
AFC,47,F1,AFC-47-3-F1,P1,E,9,E09,E09,
AFC,56,F1,AFC-56-1-F1,P1,F,9,F09,F09,
MC,1,M,MC-M01-F1,P1,G,9,G09,G09,
AFC,24,F1,AFC-24-3-F1,P1,H,9,H09,H09,
MC,13,F,MC_F13_F1,P1,A,10,A10,A10,
AFC,25,F1,AFC-25-4-F1,P1,B,10,B10,B10,
MC,6,L,MC-L6-3,P1,C,10,C10,C10,
MC,7,M,MC-M07-F1,P1,D,10,D10,D10,
FL,14,L,FL-L10,P1,E,10,E10,E10,
MC,13,L,MC-L13-4,P1,F,10,F10,F10,
AFC,24,L,AFC_F1_L24-1,P1,G,10,G10,G10,
MC,13,F1,MC-13-1-F1,P1,H,10,H10,H10,
AFC,1,F1,AFC-1-4-F1,P1,A,11,A11,A11,
MC,13,L,MC-L13-1,P1,B,11,B11,B11,
AFC,60,L,AFC-L60-2,P1,C,11,C11,C11,
AFC,42,F1,AFC-42-4-F1,P1,D,11,D11,D11,
AFC,5,F1,AFC-5-2-F1,P1,E,11,E11,E11,
MC,1,F,MC_F1_F1,P1,F,11,F11,F11,
AFC,2,F1,AFC-2-4-F1,P1,G,11,G11,G11,
AFC,18,F1,AFC-18-3-F1,P1,H,11,H11,H11,
MC,5,M,MC-M05-F1,P1,A,12,A12,A12,
MC,12,F,MC_F12_F1,P1,B,12,B12,B12,
AFC,57,L,AFC-L57-4,P1,C,12,C12,C12,
MV,225,L,MV_F1_L-11,P1,D,12,D12,D12,
AFC,27,F1,AFC-27-4-F1,P1,E,12,E12,E12,
AFC,7,F1,AFC-7-4-F1,P1,F,12,F12,F12,
MC,5,F,MC_F5_F1,P1,G,12,G12,G12,
AFC,68,F1,AFC-68-3-F1,P1,H,12,H12,H12,
AFC,60,F1,AFC-60-3-F1,P2,A,1,A01,A01,
AFC,68,F1,AFC-68-4-F1,P2,B,1,B01,B01,
AFC,49,F1,AFC-49-1-F1,P2,C,1,C01,C01,
AFC,54,F1,AFC-54-3-F1,P2,D,1,D01,D01,
AFC,29,F1,AFC-29-3-F1,P2,E,1,E01,E01,
AFC,51,F1,AFC-51-3-F1,P2,F,1,F01,F01,
AFC,13,F1,AFC-13-2-F1,P2,G,1,G01,G01,
AFC,63,F1,AFC-63-4-F1,P2,H,1,H01,H01,
MC,7,F,MC_F7_F1,P2,A,2,A02,A02,
AFC,56,L,AFC-L56-2,P2,B,2,B02,B02,
AFC,57,L,AFC-L57-1,P2,C,2,C02,C02,
AFC,60,F1,AFC-60-4-F1,P2,D,2,D02,D02,
MV,225,L,MV-L7,P2,E,2,E02,E02,
MC,15,F1,MC-15-4-F1,P2,F,2,F02,F02,
MC,9,F1,MC-9-2-F1,P2,G,2,G02,G02,
FL,14,L,FL-L7,P2,H,2,H02,H02,
MV,225,L,MV-L10,P2,A,3,A03,A03,
MC,20,F1,MC-20-2-F1,P2,B,3,B03,B03,
AFC,57,F1,AFC-57-3-F1,P2,C,3,C03,C03,
MC,15,L,MC-L15-1,P2,D,3,D03,D03,
FL,14,L,FL-L2,P2,E,3,E03,E03,
AFC,50,F1,AFC-50-4-F1,P2,F,3,F03,F03,
AFC,74,F1,AFC-64-4-F1,P2,G,3,G03,G03,
AFC,43,F1,AFC-43-3-F1,P2,H,3,H03,H03,
MC,22,F,MC_F1_F22,P2,A,4,A04,A04,
AFC,3,F1,AFC-3-1-F1,P2,B,4,B04,B04,
FL,14,L,FL-L6,P2,C,4,C04,C04,
AFC,1,F1,AFC-1-3-F1,P2,D,4,D04,D04,
AFC,12,L,AFC_F1_L12-2,P2,E,4,E04,E04,
MC,28,M,MC_M28_F1,P2,F,4,F04,F04,
MC,17,L,MC-17-L4,P2,G,4,G04,G04,
AFC,30,L,AFC-L30-1,P2,H,4,H04,H04,
AFC,57,F1,AFC-57-1-F1,P2,A,5,A05,A05,
VY,VY,L,VY-L1,P2,B,5,B05,B05,
MC,15,F1,MC-15-2-F1,P2,C,5,C05,C05,
AFC,19,F1,AFC-19-3-F1,P2,D,5,D05,D05,
AFC,59,F1,AFC-59-1-F1,P2,E,5,E05,E05,
AFC,5,F1,AFC-5-4-F1,P2,F,5,F05,F05,
MC,17,L,MC-17-L2,P2,G,5,G05,G05,
AFC,19,L,AFC_F1_L19-4,P2,H,5,H05,H05,
MC,14,F1,MC-14-4-F1,P2,A,6,A06,A06,
VY,VY,L,VY-L7,P2,B,6,B06,B06,
MC,19,F,MC_F1_F19,P2,C,6,C06,C06,
VY,VY,L,VY-L3,P2,D,6,D06,D06,
MC,26,F,MC_F1_F26,P2,E,6,E06,E06,
VY,VY,L,VY-L11,P2,F,6,F06,F06,
AFC,66,F1,AFC-66-3-F1,P2,G,6,G06,G06,
MC,4,F,MC_F4_F1,P2,H,6,H06,H06,
MC,6,F1,MC_F1_6-5,P2,A,7,A07,A07,
MC,18,F,MC_F18_F1,P2,B,7,B07,B07,
AFC,49,F1,AFC-49-4-F1,P2,C,7,C07,C07,
AFC,14,F1,AFC-14-1-F1,P2,D,7,D07,D07,
MC,14,L,MC-L14-1,P2,E,7,E07,E07,
MV,225,L,MV_F1_L-2,P2,F,7,F07,F07,
AFC,48,F1,AFC-48-2-F1,P2,G,7,G07,G07,
MC,9,L,MC_F1_L9-3,P2,H,7,H07,H07,
MC,8,F,MC_F8_F1,P2,A,8,A08,A08,
AFC,30,F1,AFC-30-1-F1,P2,B,8,B08,B08,
FL,14,L,FL-L3,P2,C,8,C08,C08,
AFC,27,F1,AFC-27-3-F1,P2,D,8,D08,D08,
MC,9,L,MC_F1_L9-1,P2,E,8,E08,E08,
AFC,49,L,AFC-L49-3,P2,F,8,F08,F08,
MV,225,L,MV-L4,P2,G,8,G08,G08,
MC,6,L,MC-L6-2,P2,H,8,H08,H08,
MC,20,L,MC-L20-3,P2,A,9,A09,A09,
AFC,63,F1,AFC-63-1-F1,P2,B,9,B09,B09,
AFC,67,F1,AFC-67-2-F1,P2,C,9,C09,C09,
MC,2,F,MC_F2_F1,P2,D,9,D09,D09,
AFC,48,L,AFC_F1_L48-1,P2,E,9,E09,E09,
AFC,24,F1,AFC-24-4-F1,P2,F,9,F09,F09,
AFC,49,L,AFC-L49-2,P2,G,9,G09,G09,
AFC,54,F1,AFC-54-2-F1,P2,H,9,H09,H09,
AFC,71,F1,AFC-71-2-F1,P2,A,10,A10,A10,
MC,14,F,MC_F14_F1,P2,B,10,B10,B10,
AFC,28,F1,AFC-28-2-F1,P2,C,10,C10,C10,
AFC,30,F1,AFC-30-4-F1,P2,D,10,D10,D10,
AFC,47,L,AFC-L47-2,P2,E,10,E10,E10,